scenario,seed,method,reference,name,num_users,num_tx_antennas,snr_db,p_max,channel,pathloss_db_low,pathloss_db_high,notes,noise_var,load_ratio,mean_wsr,std_wsr,p10_wsr,p50_wsr,p90_wsr,runtime_ms_per_sample,reference_mean_wsr,gap_to_reference,relative_wsr_percent,mean_user_rate,mean_min_user_rate,mean_jain_fairness,mean_power,power_utilization,power_violation_ratio,user_rate_outage_ratio,sample_min_rate_outage_ratio,win_rate_vs_reference,mean_abs_wsr_gap,p90_abs_wsr_gap
fully_loaded_snr10,0,MRT,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,3.6097867847420275,0.6081807569339912,2.8550634145736695,3.5748796463012695,4.41781210899353,0.00643400453554932,5.455683453381061,0.3383437995280083,66.16562004719917,0.902446695540857,0.6886316955846269,0.9550645316479229,1.0,1.0,0.0,0.701953125,0.976953125,0.0,1.8458966493606568,2.5783676147460937
fully_loaded_snr10,0,ZF,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.086750803043833,0.5213717142106756,0.4985563099384308,1.0145885348320007,1.7491203904151909,0.002209563535870984,5.455683453381061,0.8008039116766684,19.919608832333168,0.2716877003756622,0.08763283691246215,0.7021266442616488,1.0,1.0,0.172265625,0.98984375,1.0,0.0,4.36893253326416,5.450206661224366
fully_loaded_snr10,0,RZF,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.543106774459011,0.670116367231042,0.7493783950805664,1.4638370275497437,2.4470384120941158,0.0008661418178235181,5.455683453381061,0.7171561019540643,28.284389804593562,0.3857766936823218,0.1269561226210243,0.7074626343603766,1.0,1.0,0.146484375,0.95107421875,1.0,0.0,3.912576675415039,5.117951965332031
fully_loaded_snr10,0,WMMSE-1,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,4.538874487485737,0.7435039279078277,3.5903575897216795,4.516613006591797,5.4919709205627445,0.014858791018923512,5.455683453381061,0.16804658366444417,83.19534163355559,1.1347186215099476,0.355249259823691,0.7689943860560197,1.0,1.0,0.0,0.4427734375,0.98125,0.0,0.9168089628219604,1.6322271943092346
fully_loaded_snr10,0,WMMSE-2,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,4.965908067766577,0.8108061673465933,3.9594743490219115,4.932697057723999,6.026598978042602,0.028338643369352212,5.455683453381061,0.08977342431972565,91.02265756802744,1.2414770162551105,0.2808070906818038,0.736053059449916,1.0,1.0,0.0,0.40234375,0.980078125,0.0,0.48977539241313933,1.0376388311386109
fully_loaded_snr10,0,WMMSE-3,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,5.149225488863886,0.8236815060913302,4.122293186187744,5.118750095367432,6.205954217910766,0.041889551448548445,5.455683453381061,0.05617224077164038,94.38277592283596,1.2873063740272648,0.21218063132678583,0.7111191236602028,1.0,1.0,0.0,0.3880859375,0.98125,0.0,0.3064579665660858,0.7410075902938843
fully_loaded_snr10,0,WMMSE-4,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,5.247161484882236,0.8253743120517836,4.209247732162476,5.215656042098999,6.3148445129394535,0.05596474657068029,5.455683453381061,0.03822105338050682,96.17789466194931,1.311790370389374,0.16419556213025818,0.6928264433773804,1.0,1.0,0.0,0.3828125,0.984765625,0.0,0.208521968126297,0.5449524521827698
fully_loaded_snr10,0,WMMSE-5,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,5.3050639136694375,0.8240991364380832,4.263655376434326,5.281156063079834,6.384376144409179,0.06896966560816509,5.455683453381061,0.027607822374349805,97.23921776256502,1.3262659780840287,0.13084344779926296,0.6795793470138015,1.0,1.0,0.0,0.38291015625,0.98671875,0.0,0.15061953961849212,0.40672616958618163
fully_loaded_snr10,0,WMMSE-6,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,5.342653296142816,0.8218318977660749,4.292209482192993,5.322998046875,6.415674495697021,0.0827349571409286,5.455683453381061,0.02071787305918499,97.92821269408151,1.3356633238569302,0.10788641691328982,0.6697531548860883,1.0,1.0,0.0,0.38515625,0.987109375,0.0,0.11303015798330307,0.31841039657592773
fully_loaded_snr10,0,WMMSE-10,WMMSE-ref-50,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,5.412124612554908,0.8136772502444365,4.361116170883179,5.395448684692383,6.466892004013061,0.13694245189981302,5.455683453381061,0.007984121732568406,99.20158782674316,1.3530311514998088,0.06284130485355065,0.6481170963104717,1.0,1.0,0.0,0.38193359375,0.98828125,0.0,0.043558840081095694,0.11924340724945068
