scenario,seed,method,name,num_users,num_tx_antennas,snr_db,p_max,channel,pathloss_db_low,pathloss_db_high,notes,noise_var,load_ratio,mean_power,power_utilization,power_violation_ratio,mean_wsr,std_wsr,p10_wsr,p50_wsr,p90_wsr,mean_user_rate,mean_min_user_rate,mean_jain_fairness,gap_to_reference,relative_wsr_percent,mean_abs_wsr_gap,p90_abs_wsr_gap,win_rate_vs_reference,runtime_ms_per_sample
fully_loaded_snr10,0,MRT,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,3.613869725726545,0.6644392399362946,2.8065245151519775,3.5451921224594116,4.5231873989105225,0.9034674339636695,0.6874115142272785,0.9551190471339059,0.3452063893497245,65.47936106502755,1.9052278995513916,2.635934591293335,0.0,0.06821954229963012
fully_loaded_snr10,0,ZF,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.17578125,1.9632679702790483,1.4036694062630244,0.30429328978061676,1.6787437796592712,3.974569320678711,0.490816993925705,0.49081627786790705,0.9999999982754089,0.6442773292682653,35.57226707317347,3.5558295249938965,5.123481750488281,0.0,0.009634605703467969
fully_loaded_snr10,0,RZF,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.1171875,4.158704584464431,0.7638843704882524,3.2095940113067627,4.103393077850342,5.090150833129883,1.0396761456795502,0.6965920879738405,0.9336284594855839,0.24648823704341638,75.35117629565836,1.3603929281234741,2.043278694152832,0.0,0.0018340624592383392
fully_loaded_snr10,0,WMMSE-1,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,4.907609584741294,0.8115305611352799,3.892211675643921,4.858485460281372,5.9402594566345215,1.2269023961957828,0.5385256379795464,0.8509300021543772,0.110794905232986,88.9205094767014,0.611487865447998,1.0795035362243652,0.0,0.02101300378853921
fully_loaded_snr10,0,WMMSE-2,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.142870948649943,0.8506438005409241,4.049032688140869,5.0953497886657715,6.305014371871948,1.2857177342170303,0.3769575598760184,0.78802881791904,0.06816810844221025,93.18318915577898,0.37622660398483276,0.689394474029541,0.0,0.040108644498104695
fully_loaded_snr10,0,WMMSE-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.269781602546573,0.8656246904807975,4.1506359577178955,5.287511348724365,6.407508134841919,1.3174454024641493,0.2738654049221232,0.7472157556504909,0.04517336815965875,95.48266318403412,0.24931591749191284,0.5500020980834961,0.0,0.059110050642630085
fully_loaded_snr10,0,WMMSE-4,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.345475279726088,0.8673064867405149,4.2331626415252686,5.3604841232299805,6.4604103565216064,1.3363688195606445,0.20943956321649615,0.7204096625578029,0.03145842898275554,96.85415710172444,0.1736222505569458,0.44239068031311035,0.0,0.07828002799215028
fully_loaded_snr10,0,WMMSE-5,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.39387767855078,0.8663915296939931,4.29844856262207,5.3857057094573975,6.5106072425842285,1.3484694203401042,0.16773489405861974,0.7019241621154202,0.022688460536913146,97.73115394630868,0.12521985173225403,0.35196781158447266,0.0,0.10965675755869597
fully_loaded_snr10,0,WMMSE-6,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.42653626203537,0.8646023079803931,4.360910892486572,5.421536207199097,6.544658422470093,1.356634068705676,0.13966913031965544,0.6885723711947432,0.01677099761490588,98.32290023850942,0.0925612598657608,0.2667663097381592,0.0,0.11970681680395501
fully_loaded_snr10,0,WMMSE-10,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.0,1.0,0.0,5.486473830416799,0.8609052554393626,4.387607574462891,5.458082914352417,6.609565734863281,1.3716184532234326,0.08611379392235241,0.6615371270180056,0.005911069494312701,99.40889305056874,0.032623693346977234,0.10050749778747559,0.0,0.3240230271330802
