scenario,seed,method,reference,name,num_users,num_tx_antennas,snr_db,p_max,channel,pathloss_db_low,pathloss_db_high,notes,noise_var,load_ratio,mean_wsr,std_wsr,p10_wsr,p50_wsr,p90_wsr,runtime_ms_per_sample,reference_mean_wsr,gap_to_reference,relative_wsr_percent,mean_user_rate,mean_min_user_rate,mean_jain_fairness,mean_power,power_utilization,power_violation_ratio,user_rate_outage_ratio,sample_min_rate_outage_ratio,win_rate_vs_reference,mean_abs_wsr_gap,p90_abs_wsr_gap
fully_loaded_snr10,0,MRT,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,3.3717108368873596,0.4426692590023717,2.8963932514190676,3.2970319986343384,3.9647545337677004,1.999201369471848,4.959021598100662,0.32008547045273067,67.99145295472694,0.8429277185350657,0.6787999346852303,0.9655418657573669,1.0,1.0,0.0,0.84375,1.0,0.0,1.587310791015625,2.4174177646636963
fully_loaded_snr10,0,ZF,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,0.7462272495031357,0.3456041762307789,0.3655975818634033,0.6924687623977661,1.1100970029830932,0.2068009926006198,4.959021598100662,0.8495212745617108,15.04787254382892,0.18655681220116094,0.046584890922531486,0.6932569386589167,1.0,1.0,0.0,1.0,1.0,0.0,4.212794303894043,5.0919270515441895
fully_loaded_snr10,0,RZF,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,1.1916330456733704,0.5283022084053319,0.7032938003540039,0.9563913345336914,1.8903982281684875,0.0350322516169399,4.959021598100662,0.7597040016664227,24.029599833357725,0.29790826456883224,0.06730323008378036,0.6859017039476883,1.0,1.0,0.125,0.96875,1.0,0.0,3.7673885822296143,4.746520519256592
fully_loaded_snr10,0,WMMSE-1,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,4.367272228002548,0.6606507060498833,3.59718234539032,4.185631275177002,5.308773040771484,0.4903302469756454,4.959021598100662,0.11932784691334232,88.06721530866577,1.0918180785665754,0.2764794050017372,0.7596290171579597,1.0,1.0,0.0,0.5,1.0,0.0,0.591749370098114,1.121911644935608
fully_loaded_snr10,0,WMMSE-2,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,4.792154937982559,0.7640250798092191,3.855847430229187,4.798761606216431,5.695947170257568,0.9171602432616055,4.959021598100662,0.033649109369076766,96.63508906309232,1.1980387570147286,0.191525910719065,0.7205913097842297,1.0,1.0,0.0,0.46875,1.0,0.0,0.16686666011810303,0.3143273591995239
fully_loaded_snr10,0,WMMSE-ref-3,WMMSE-ref-3,fully_loaded_snr10,4,4,10.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=10 dB.",0.1,1.0,4.959021598100662,0.7868764413370434,4.0069773435592655,5.0213751792907715,5.835216236114502,13.428049511276186,4.959021598100662,0.0,100.0,1.2397553957525815,0.14050330295867752,0.6896402844035692,1.0,1.0,0.0,0.40625,1.0,0.0,0.0,0.0
fully_loaded_snr20,0,MRT,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,4.9542407393455505,1.128098757687247,3.947794771194458,4.681096076965332,6.08228530883789,0.011220865417271852,11.680282354354858,0.5758458067155868,42.41541932844131,1.2385602239519358,0.9575400799512863,0.9434868601756226,1.0,1.0,0.0,0.34375,0.75,0.0,6.726041793823242,8.274357795715332
fully_loaded_snr20,0,ZF,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.7890863418579102,0.770311572568403,0.9951926350593567,1.6150600910186768,2.781715512275696,0.05660537863150239,11.680282354354858,0.8468285022929373,15.317149770706271,0.4472715786541812,0.10716941836290061,0.6488221571871922,1.0,1.0,0.0,0.90625,1.0,0.0,9.891196250915527,11.245210647583008
fully_loaded_snr20,0,RZF,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,1.872613325715065,0.8254455700644713,1.0123914718627929,1.6385809779167175,2.8514649152755736,0.028968759579584002,11.680282354354858,0.8396773923006337,16.032260769936634,0.46815332185360603,0.09773377131205052,0.655607012740633,1.0,1.0,0.25,0.875,1.0,0.0,9.807668685913086,11.206136703491211
fully_loaded_snr20,0,WMMSE-1,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,8.97803121805191,1.342950300600741,7.596590757369995,8.580410957336426,10.69600372314453,0.48153186799027026,11.680282354354858,0.23135152510208323,76.86484748979167,2.2445077374577522,0.6879598498344421,0.8030425157989518,1.0,1.0,0.0,0.1875,0.75,0.0,2.7022509574890137,4.4006500244140625
fully_loaded_snr20,0,WMMSE-2,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,10.827651858329773,1.2557714953689147,9.461864376068116,10.59609842300415,12.477813148498536,0.9243460081052035,11.680282354354858,0.07299742165112919,92.70025783488708,2.7069129597075516,0.5765770776779391,0.7930839125872414,0.9999997019767761,0.9999997019767761,0.0,0.15625,0.625,0.0,0.8526304960250854,1.3425066471099854
fully_loaded_snr20,0,WMMSE-ref-3,WMMSE-ref-3,fully_loaded_snr20,4,4,20.0,1.0,iid_rayleigh,0.0,0.0,"Pellaco-style N=M=4, P/sigma^2=20 dB.",0.01,1.0,11.680282354354858,1.3262653253131889,9.965422916412354,11.367185115814209,13.265013408660888,1.3900262711104006,11.680282354354858,0.0,100.0,2.920070594849676,0.5859686982730636,0.7947499799675353,0.9999998807907104,0.9999998807907104,0.0,0.1875,0.75,0.0,0.0,0.0
lightly_loaded_snr10,0,MRT,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,4.684562921524048,0.5289649733612055,4.184714841842651,4.663659572601318,5.188738918304443,0.011110998457297683,5.852606415748596,0.19957663496412412,80.04233650358759,1.1711407098919153,0.919423334300518,0.9649462774359363,1.0,1.0,0.0,0.25,0.625,0.0,1.1680434942245483,1.618686556816101
lightly_loaded_snr10,0,ZF,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.1689657643437386,0.4229826121183015,0.6462819814682007,1.167993426322937,1.722569727897644,0.05588651401922107,5.852606415748596,0.800265782233672,19.9734217766328,0.29224143567989813,0.08420801142347045,0.7010006991894664,1.0,1.0,0.0,1.0,1.0,0.0,4.683640480041504,5.304342269897461
lightly_loaded_snr10,0,RZF,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,1.2930089458823204,0.4763975738686001,0.7047935783863067,1.289659857749939,1.8732147932052612,0.027048023184761405,5.852606415748596,0.7790712626082282,22.09287373917718,0.32325223359657684,0.0954134302737657,0.7010511923498693,1.0,1.0,0.0,1.0,1.0,0.0,4.559597492218018,5.238975524902344
lightly_loaded_snr10,0,WMMSE-1,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,5.394891560077667,0.7578707955094847,4.708691167831421,5.387421369552612,6.109492349624634,0.5023578705731779,5.852606415748596,0.07820701122824154,92.17929887717584,1.348722924478352,0.538835983723402,0.82962079454864,1.0,1.0,0.0,0.3125,0.875,0.0,0.45771485567092896,0.9345434904098511
lightly_loaded_snr10,0,WMMSE-2,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,5.719845175743103,0.6668749069337772,5.131748914718628,5.712829113006592,6.26804895401001,0.9454373794142157,5.852606415748596,0.022684122350727375,97.73158776492727,1.4299613197799772,0.635407536290586,0.8449229344583528,1.0,1.0,0.0,0.21875,0.75,0.0,0.13276124000549316,0.31485211849212646
lightly_loaded_snr10,0,WMMSE-ref-3,WMMSE-ref-3,lightly_loaded_snr10,4,8,10.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.1,0.5,5.852606415748596,0.6487868624530319,5.2392974376678465,5.8188652992248535,6.596374416351318,1.4143026201054454,5.852606415748596,0.0,100.0,1.4631515969522297,0.6384021807461977,0.8515769703886291,1.0,1.0,0.0,0.1875,0.75,0.0,0.0,0.0
lightly_loaded_snr20,0,MRT,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,7.45325630903244,0.9418786179487119,6.398672485351563,7.458397150039673,8.537661933898926,0.01143410918302834,14.844085812568665,0.4978972499120371,50.210275008796295,1.8633140735328197,1.5285265445709229,0.9574150061627389,1.0,1.0,0.0,0.0,0.0,0.0,7.390829563140869,8.524288177490234
lightly_loaded_snr20,0,ZF,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,2.30054372549057,0.9665284431611593,1.1442339062690734,2.462827444076538,3.233223223686218,0.049590395065024495,14.844085812568665,0.8450195078000241,15.498049219997585,0.5751359340065392,0.18592822487698868,0.6965421264489702,1.0,1.0,0.0,0.78125,1.0,0.0,12.543542861938477,14.971484184265137
lightly_loaded_snr20,0,RZF,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,2.318398654460907,0.9698655105584703,1.1533785104751586,2.4814857244491577,3.2507004737854,0.028790615033358335,14.844085812568665,0.8438166766391305,15.618332336086949,0.5795996644592378,0.1906853202963248,0.6960492608246545,1.0,1.0,0.25,0.78125,1.0,0.0,12.525688171386719,14.9614896774292
lightly_loaded_snr20,0,WMMSE-1,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,12.529648661613464,2.5461396826545712,9.591216087341309,12.778529167175293,15.08107795715332,0.4905961104668677,14.844085812568665,0.15591644916223393,84.40835508377661,3.13241213420406,1.7772165033966303,0.8914248870146514,1.0,1.0,0.0,0.09375,0.375,0.0,2.3144371509552,3.4118812084198
lightly_loaded_snr20,0,WMMSE-2,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,14.34266984462738,2.3451836100116923,12.08087978363037,14.97454833984375,16.216661643981933,0.9552083793096244,14.844085812568665,0.03377883786664244,96.62211621333576,3.5856674507958815,2.336997318547219,0.9234004336733957,1.0,1.0,0.0,0.0625,0.25,0.0,0.5014159679412842,1.033241629600525
lightly_loaded_snr20,0,WMMSE-ref-3,WMMSE-ref-3,lightly_loaded_snr20,4,8,20.0,1.0,iid_rayleigh,0.0,0.0,Lightly loaded M>N generalization scenario.,0.01,0.5,14.844085812568665,2.120408500125761,12.794736671447755,15.208783626556396,16.66189365386963,1.4224656333681196,14.844085812568665,0.0,100.0,3.7110215028515086,2.484225561376661,0.9273135970229913,1.0,1.0,0.0,0.0625,0.25,0.0,0.0,0.0
pathloss_shift_snr10,0,MRT,WMMSE-ref-3,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,3.2364456951618195,0.6180245343448507,2.5831930875778197,3.2058252096176147,4.019439744949341,0.010204763384535909,5.52029550075531,0.41371875930935303,58.6281240690647,0.8091114275157452,0.48659131675958633,0.90493717577637,1.0,1.0,0.0,0.78125,1.0,0.0,2.2838497161865234,3.408240556716919
pathloss_shift_snr10,0,ZF,WMMSE-ref-3,pathloss_shift_snr10,4,4,10.0,1.0,pathloss_rayleigh,-5.0,5.0,"Domain-shift test with per-user path loss U(-5,5) dB.",0.1,1.0,0.5106119364500046,0.2547212001173378,0.26253361701965333,0.40374426543712616,0.8164649844169616,0.04757088026963174,5.52029550075531,0.9075027892292831,9.2497210770717,0.12765298227895983,0.02597639092709869,0.6408234627048952,1.0,1.0,0.0,1.0,1.0,0.0,5.009683609008789,6.627660274505615
