step,loss,mse_loss,train_mlp_mean_wsr,train_wmmse_mean_wsr,train_gap_to_wmmse,grad_norm,eval_mlp_mean_wsr,eval_wmmse_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference
0,0.0500950887799263,0.05698813498020172,0.06893046200275421,5.516819953918457,0.9875053993825202,0.13176275365003617,0.10473483800888062,5.51810359954834,0.9810197767911691,1.898022320883088,0.03130483627319336,0.03130483627319336,0.0,0.1047348393797165,0.05196865989396743,0.045461757481098174,0.09558149799704552,0.17466750591993332,0.02618370981340029,0.006643870121346707,0.6628773364467639,0.9810197767911691,5.4133687019348145,6.387141704559326,0.0
100,-0.050230368971824646,0.09593714773654938,1.4616751670837402,5.4259867668151855,0.7306157884454851,0.02970099357974449,,,,,,,,,,,,,,,,,,,
200,-0.0732751339673996,0.08667992055416107,1.599550485610962,5.5730695724487305,0.7129857316839234,0.059760573415826086,,,,,,,,,,,,,,,,,,,
300,-0.35059380531311035,0.023489199578762054,3.7408299446105957,5.520637035369873,0.32239161519881254,0.06343067796398315,,,,,,,,,,,,,,,,,,,
400,-0.3477575182914734,0.024012215435504913,3.7176971435546875,5.535587310791016,0.32840059512611286,0.05715310070804503,,,,,,,,,,,,,,,,,,,
500,-0.35015869140625,0.02442850172519684,3.7458720207214355,5.557094573974609,0.3259297694402437,0.059194091928964514,3.710211753845215,5.501347541809082,0.32558128246790674,67.44187175320933,0.9999288320541382,0.9999288320541382,0.1806640625,3.710211650119163,0.6514628831479936,2.905596876144409,3.6618951559066772,4.58909330368042,0.9275529134089595,0.41652560366730995,0.8132275509203701,0.32558128246790674,1.7911359071731567,2.4523823261260986,0.0
600,-0.3482253849506378,0.02348858118057251,3.717139720916748,5.435948371887207,0.3161929682517822,0.05448526696128541,,,,,,,,,,,,,,,,,,,
700,-0.34896835684776306,0.024162646383047104,3.7313101291656494,5.560311794281006,0.32893868775426494,0.0578936023324994,,,,,,,,,,,,,,,,,,,
800,-0.34890681505203247,0.023904824629426003,3.728116273880005,5.523038864135742,0.324988223767752,0.058485105616679425,,,,,,,,,,,,,,,,,,,
900,-0.3517396152019501,0.02401215024292469,3.7575175762176514,5.559016227722168,0.3240678885808342,0.05780968157425085,,,,,,,,,,,,,,,,,,,
1000,-0.3520921468734741,0.023516114801168442,3.756082534790039,5.493232727050781,0.3162345887343075,0.054811696590627915,3.740266799926758,5.530247688293457,0.3236710160660196,67.63289839339804,1.0,1.0,0.18603515625,3.740266843466088,0.6531854984719855,2.9466604232788085,3.708697557449341,4.607724905014038,0.9350667113073996,0.4170815145434972,0.8110309390166319,0.3236710160660196,1.7899810075759888,2.49076771736145,0.0
1100,-0.3508532643318176,0.023924149572849274,3.747774124145508,5.504648208618164,0.31916191878021677,0.05985696343927852,,,,,,,,,,,,,,,,,,,
1200,-0.3521106541156769,0.02405550144612789,3.7616615295410156,5.56362247467041,0.32388267775773966,0.05246596478769168,,,,,,,,,,,,,,,,,,,
1300,-0.34049031138420105,0.023892661556601524,3.643829822540283,5.3968706130981445,0.3248254249978221,0.05279246936033154,,,,,,,,,,,,,,,,,,,
1400,-0.3509754538536072,0.02380019798874855,3.7477564811706543,5.511590003967285,0.3200226289558929,0.055923921738018294,,,,,,,,,,,,,,,,,,,
1500,-0.35482606291770935,0.023565292358398438,3.7839133739471436,5.561039924621582,0.31956730661223737,0.0506324734296577,3.7362937927246094,5.51603889465332,0.32264912121156586,67.73508787884342,1.0,1.0,0.1689453125,3.736293733760249,0.6472230781168509,2.9373781442642213,3.6968483924865723,4.582307720184326,0.9340734339195933,0.42205417076638696,0.8142410247840953,0.32264912121156586,1.7797448635101318,2.4610512256622314,0.0
