step,loss,mse_loss,train_mlp_mean_wsr,train_wmmse_mean_wsr,train_gap_to_wmmse,grad_norm,eval_mlp_mean_wsr,eval_wmmse_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference
0,0.05009325221180916,0.05698629841208458,0.06893046200275421,5.470124244689941,0.9873987392389364,0.1315113496551277,0.10471871495246887,5.459482192993164,0.9808189291125691,1.9181070887430953,0.03129681572318077,0.03129681572318077,0.0,0.10471871965910395,0.05195045106548835,0.045434779673814776,0.09553594142198563,0.17448290437459946,0.02617967992808823,0.006635065941186902,0.6626096113859954,0.9808189291125691,5.354763031005859,6.344523906707764,0.0
100,-0.0515214204788208,0.09506918489933014,1.465906023979187,5.3661112785339355,0.726821538374865,0.029589303966092002,,,,,,,,,,,,,,,,,,,
200,-0.07812010496854782,0.0849069282412529,1.63027024269104,5.518424034118652,0.7045768442925734,0.06396656634653866,,,,,,,,,,,,,,,,,,,
300,-0.3491390347480774,0.024872388690710068,3.740114212036133,5.446986198425293,0.3133608061798672,0.06282044267781771,,,,,,,,,,,,,,,,,,,
400,-0.34664762020111084,0.025254085659980774,3.7190170288085938,5.490034103393555,0.3225876271861849,0.05694108140550944,,,,,,,,,,,,,,,,,,,
500,-0.34893643856048584,0.02565457485616207,3.745910167694092,5.497738838195801,0.3186453052900215,0.05894446811140753,3.7099645137786865,5.442207336425781,0.3182978368083934,68.17021631916066,0.9999248385429382,0.9999248385429382,0.1787109375,3.709964570356533,0.6514441726388339,2.904350686073303,3.6634926795959473,4.585087633132934,0.9274911428857706,0.4166030437960444,0.8133115311539736,0.3182978368083934,1.7322427034378052,2.412569284439087,0.0
600,-0.34722617268562317,0.02450506202876568,3.7173120975494385,5.39557409286499,0.31104419408026573,0.054108529687766915,,,,,,,,,,,,,,,,,,,
700,-0.34810906648635864,0.025062408298254013,3.7317147254943848,5.516890048980713,0.32358363274181123,0.05755831807538012,,,,,,,,,,,,,,,,,,,
800,-0.3477717339992523,0.025065967813134193,3.728376865386963,5.471645355224609,0.31860041663209837,0.05814023215141108,,,,,,,,,,,,,,,,,,,
900,-0.3504880964756012,0.02533094957470894,3.758190631866455,5.492423057556152,0.3157499718277969,0.05764291012836591,,,,,,,,,,,,,,,,,,,
1000,-0.35061904788017273,0.024950750172138214,3.755697727203369,5.431546688079834,0.3085399163656849,0.05468104305875905,3.740347146987915,5.458747863769531,0.31479759821604525,68.52024017839547,1.0,1.0,0.18798828125,3.740347225102596,0.6530842977977804,2.944532370567322,3.706296443939209,4.607652997970581,0.935086807545531,0.41707842720734334,0.8110601289334088,0.31479759821604525,1.7184007167816162,2.4051432609558105,0.0
1100,-0.3497161269187927,0.02493715099990368,3.746532678604126,5.449620246887207,0.3125149076682683,0.06007916079684809,,,,,,,,,,,,,,,,,,,
1200,-0.3508056402206421,0.025358088314533234,3.7616372108459473,5.506556987762451,0.31688036295535355,0.05240848390004046,,,,,,,,,,,,,,,,,,,
1300,-0.3395991325378418,0.02478058636188507,3.643796920776367,5.34251594543457,0.3179623686682373,0.05286078446953872,,,,,,,,,,,,,,,,,,,
1400,-0.34998542070388794,0.024767886847257614,3.747532844543457,5.465473175048828,0.3143260016988416,0.05555918919871072,,,,,,,,,,,,,,,,,,,
1500,-0.3535030484199524,0.024782828986644745,3.7828588485717773,5.490573406219482,0.31102663261241176,0.05056681370469711,3.7359960079193115,5.4464335441589355,0.31404726090415525,68.59527390958448,1.0,1.0,0.16455078125,3.735995986033231,0.6471170449025917,2.9412076473236084,3.6971020698547363,4.587331104278564,0.9339989973306047,0.42209780940947894,0.8142771221681572,0.31404726090415525,1.710437536239624,2.3913450241088867,0.0
1600,-0.3491504490375519,0.024365851655602455,3.7351627349853516,5.467170715332031,0.3168015177374046,0.05563226345629753,,,,,,,,,,,,,,,,,,,
1700,-0.3486739695072174,0.024582229554653168,3.7325620651245117,5.432432651519775,0.31291148835866534,0.05471519630752095,,,,,,,,,,,,,,,,,,,
1800,-0.35173499584198,0.024087391793727875,3.75822377204895,5.430229663848877,0.30790703069726716,0.04881742283763391,,,,,,,,,,,,,,,,,,,
1900,-0.3559543192386627,0.02473646216094494,3.8069076538085938,5.4947662353515625,0.30717568486969077,0.05201247819117275,,,,,,,,,,,,,,,,,,,
2000,-0.3489445149898529,0.025623997673392296,3.74568510055542,5.501782417297363,0.31918698042671595,0.05044076959800371,3.745523452758789,5.463891983032227,0.31449533329167617,68.55046667083238,1.0,1.0,0.1591796875,3.7455235881498083,0.6494856306079801,2.937579607963562,3.712634801864624,4.597041225433349,0.9363808975332404,0.4183534978824355,0.8107892457863437,0.31449533329167617,1.718368649482727,2.3865199089050293,0.0
2100,-0.3526962995529175,0.024730810895562172,3.774271011352539,5.4660468101501465,0.30950627712446105,0.051602048722599006,,,,,,,,,,,,,,,,,,,
2200,-0.3435398042201996,0.02626337856054306,3.6980319023132324,5.378457546234131,0.31243634991550556,0.048803957009541946,,,,,,,,,,,,,,,,,,,
2300,-0.35770392417907715,0.024484295397996902,3.8218822479248047,5.490477561950684,0.30390713652840284,0.05183317211609991,,,,,,,,,,,,,,,,,,,
2400,-0.34394165873527527,0.025297041982412338,3.6923868656158447,5.355405330657959,0.3105308305091069,0.04851321326654147,,,,,,,,,,,,,,,,,,,
2500,-0.3470971882343292,0.024873953312635422,3.7197113037109375,5.435345649719238,0.31564401908771367,0.04962007297705738,3.752202272415161,5.461589813232422,0.3129835083322682,68.70164916677318,1.0,1.0,0.15966796875,3.7522022412740625,0.6518956109811525,2.952422046661377,3.7136775255203247,4.608619737625122,0.9380505604082146,0.42559877031681026,0.8145891377527439,0.3129835083322682,1.7093874216079712,2.345489740371704,0.0
2600,-0.35025280714035034,0.025441767647862434,3.7569456100463867,5.4868268966674805,0.31527899808025056,0.04919229704294354,,,,,,,,,,,,,,,,,,,
2700,-0.3502211272716522,0.024336185306310654,3.745573043823242,5.505646228790283,0.3196851217506886,0.0512259658886574,,,,,,,,,,,,,,,,,,,
2800,-0.3524424731731415,0.024939142167568207,3.7738161087036133,5.466691493988037,0.30967092018017733,0.04752637078174188,,,,,,,,,,,,,,,,,,,
2900,-0.35039281845092773,0.025813408195972443,3.7620620727539062,5.524257659912109,0.3189922874064928,0.04761099968129897,,,,,,,,,,,,,,,,,,,
3000,-0.34682226181030273,0.0248158797621727,3.716381311416626,5.414745330810547,0.31365538278042865,0.04805975809562241,3.7406904697418213,5.436684608459473,0.31195374770842643,68.80462522915735,1.0,1.0,0.15478515625,3.7406904749805108,0.6615857228581524,2.9289392471313476,3.677312135696411,4.596109056472779,0.9351726187289842,0.41829565417810954,0.8173019615482114,0.31195374770842643,1.6959941387176514,2.3676657676696777,0.0
3100,-0.352688193321228,0.024843577295541763,3.775317668914795,5.502623081207275,0.3139058203335108,0.04961235451357201,,,,,,,,,,,,,,,,,,,
3200,-0.35361430048942566,0.02452143281698227,3.7813572883605957,5.4744062423706055,0.3092662252403215,0.04840185737462662,,,,,,,,,,,,,,,,,,,
3300,-0.3587842583656311,0.02425738424062729,3.830416440963745,5.512675762176514,0.30516202907398626,0.05031239434041743,,,,,,,,,,,,,,,,,,,
3400,-0.3516392707824707,0.02482212334871292,3.7646138668060303,5.441126823425293,0.30811870611092756,0.04644226686102598,,,,,,,,,,,,,,,,,,,
3500,-0.3579098880290985,0.024807270616292953,3.827171564102173,5.5460734367370605,0.30993132208616675,0.046494492055931244,3.731311321258545,5.430363655090332,0.3128800282535634,68.71199717464366,1.0,1.0,0.1806640625,3.731311389943585,0.6486281470311851,2.9217334270477293,3.7076059579849243,4.589682865142822,0.9328278462548951,0.42355697833590966,0.8160534722980866,0.3128800282535634,1.699052333831787,2.367964506149292,0.0
3600,-0.34638065099716187,0.024479379877448082,3.7086002826690674,5.435093879699707,0.31765662843086523,0.045673679470079456,,,,,,,,,,,,,,,,,,,
3700,-0.35449138283729553,0.024973861873149872,3.7946524620056152,5.475775718688965,0.3070109776311021,0.0497136583982702,,,,,,,,,,,,,,,,,,,
3800,-0.35123497247695923,0.02435779571533203,3.755927562713623,5.41281270980835,0.30610428180756166,0.04845469216644042,,,,,,,,,,,,,,,,,,,
3900,-0.34936681389808655,0.02482781745493412,3.741946220397949,5.451195240020752,0.3135549075685456,0.04498919485313409,,,,,,,,,,,,,,,,,,,
4000,-0.3580772876739502,0.024297533556818962,3.8237481117248535,5.484403610229492,0.30279600418306,0.04635354916019523,3.743464946746826,5.429784774780273,0.3105684475498732,68.94315524501268,1.0,1.0,0.1806640625,3.743464841856621,0.6634989490406863,2.940913677215576,3.6736937761306763,4.620012664794921,0.9358662107408122,0.4127122252436948,0.8109897539360035,0.3105684475498732,1.6864681243896484,2.362866163253784,0.00048828125
4100,-0.3506776690483093,0.02461944706737995,3.7529711723327637,5.440062522888184,0.31012352219432326,0.047585791727469524,,,,,,,,,,,,,,,,,,,
4200,-0.34792807698249817,0.02513817697763443,3.7306623458862305,5.405754089355469,0.3098719837751555,0.044857728900542085,,,,,,,,,,,,,,,,,,,
4300,-0.35166096687316895,0.024902116507291794,3.7656307220458984,5.386186599731445,0.30087258353922375,0.0454565551003056,,,,,,,,,,,,,,,,,,,
4400,-0.3473704159259796,0.024685705080628395,3.7205612659454346,5.384344577789307,0.30900386998021306,0.04366606318584282,,,,,,,,,,,,,,,,,,,
4500,-0.3541819453239441,0.024637896567583084,3.788198471069336,5.463232517242432,0.30660127330962833,0.0441876753848267,3.7829947471618652,5.4529619216918945,0.3062495573069924,69.37504426930076,1.0,1.0,0.16943359375,3.7829947598511353,0.6614983341643512,2.9817762851715086,3.724276542663574,4.663750314712525,0.945748689672655,0.4252961041092931,0.8112293397973849,0.3062495573069924,1.6699674129486084,2.3268532752990723,0.0
4600,-0.3550208806991577,0.024341877549886703,3.7936275005340576,5.481786727905273,0.30795784498101103,0.046717840158818705,,,,,,,,,,,,,,,,,,,
4700,-0.36221444606781006,0.023931609466671944,3.8614606857299805,5.540979385375977,0.303108635285427,0.04793860779589051,,,,,,,,,,,,,,,,,,,
4800,-0.35932573676109314,0.023844150826334953,3.8316988945007324,5.485352516174316,0.3014671558113282,0.045648603848158935,,,,,,,,,,,,,,,,,,,
4900,-0.34921398758888245,0.025238148868083954,3.744521379470825,5.4163055419921875,0.3086576541076112,0.04579900557303567,,,,,,,,,,,,,,,,,,,
5000,-0.35076650977134705,0.02406282164156437,3.748293161392212,5.39909029006958,0.3057546808790437,0.04669375850269869,3.793966293334961,5.444880962371826,0.3032049149367842,69.67950850632158,1.0,1.0,0.17919921875,3.793966321274638,0.6711140467800247,2.979153847694397,3.741284132003784,4.669806241989136,0.9484915788222565,0.4236921676772454,0.8100534089948488,0.3032049149367842,1.6509146690368652,2.3123245239257812,0.0
