step,loss,mse_loss,train_mlp_mean_wsr,train_wmmse_mean_wsr,train_gap_to_wmmse,grad_norm,eval_mlp_mean_wsr,eval_wmmse_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference
0,0.04899042099714279,0.055885687470436096,0.06895267963409424,4.95902156829834,0.9860955072115657,0.17189632650359044,0.09116508066654205,5.520243167877197,0.9834853143432086,1.6514685656791361,0.02755311317741871,0.02755311317741871,0.0,0.09116507414728403,0.03315673054948618,0.0570466797798872,0.08167213946580887,0.13431613147258759,0.022791268777076823,0.004545251708492515,0.622637990159484,0.9834853143432086,5.429078102111816,6.215603828430176,0.0
1,0.04684135690331459,0.05575895309448242,0.08917596936225891,5.261262893676758,0.9830504631370094,0.1804017069476063,0.09191063046455383,5.169954299926758,0.982222158043862,1.7777841956137972,0.0358392633497715,0.0358392633497715,0.0,0.09191063279286027,0.03890759115046542,0.04531235992908478,0.08686359971761703,0.1421527937054634,0.02297765829416676,0.006161335439173854,0.6699914953757578,0.982222158043862,5.078042984008789,6.049600601196289,0.0
2,0.04212681204080582,0.05465516448020935,0.12528353929519653,5.361539840698242,0.9766329183373408,0.2183821260940755,0.1397337019443512,5.034482002258301,0.9722446714713309,2.775532852866915,0.04530289024114609,0.04530289024114609,0.0,0.13973371498286724,0.06398919804850456,0.0834614485502243,0.12599989026784897,0.20228181779384613,0.03493342770889285,0.008451076326309703,0.6862389539410758,0.9722446714713309,4.894748687744141,5.976896286010742,0.0
3,0.0430382676422596,0.053822070360183716,0.10783803462982178,4.520282745361328,0.976143520061774,0.19247786591459606,0.14816780388355255,5.080085754394531,0.9708336018234771,2.9166398176522885,0.05544893443584442,0.05544893443584442,0.0,0.14816780341789126,0.06145054080362068,0.08202538266777992,0.1388421133160591,0.23565804213285446,0.03704195118052667,0.010216356420642114,0.6384758698461085,0.9708336018234771,4.931917667388916,6.033117294311523,0.0
4,0.036539655178785324,0.05344399809837341,0.1690434217453003,5.3178510665893555,0.9682120804760113,0.20807239041322462,0.20632916688919067,5.296091079711914,0.9610412351706734,3.8958764829326564,0.0705675259232521,0.0705675259232521,0.0,0.2063291622325778,0.07666564575285763,0.1251595877110958,0.20053497701883316,0.3237318843603134,0.05158229020071303,0.012305347390793031,0.6271470542635978,0.9610412351706734,5.089761734008789,5.922070503234863,0.0
5,0.03185387700796127,0.05288023501634598,0.21026359498500824,5.470852851867676,0.9615665782505506,0.24519687360085624,0.3548148274421692,5.187877655029297,0.9316069400560747,6.839305994392528,0.08928291499614716,0.08928291499614716,0.0,0.35481482185423374,0.148308668085111,0.17416179180145264,0.34388095140457153,0.46643103659152985,0.088703706225715,0.027037992455007043,0.6958731029617018,0.9316069400560747,4.833062648773193,6.120184898376465,0.0
