step,loss,train_unfolded_mean_wsr,grad_norm,eta_min,eta_mean,eta_max,train_layer_1_wsr,train_layer_2_wsr,train_layer_3_wsr,eval_unfolded_mean_wsr,eval_wmmse_mean_wsr,eval_rzf_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference,eval_layer_1_wsr,eval_layer_1_relative_percent,eval_layer_2_wsr,eval_layer_2_relative_percent,eval_layer_3_wsr,eval_layer_3_relative_percent
0,-2.3185033798217773,3.068877935409546,0.6153272770569495,0.048804447054862976,0.048804447054862976,0.048804447054862976,1.5176730155944824,2.3689587116241455,3.068877935409546,4.330451488494873,5.520243167877197,1.9727030992507935,0.21553247623326297,78.4467523766737,0.9936422109603882,0.9936422109603882,0.125,4.330451533198357,1.0085817226063203,3.1660627126693726,4.158608913421631,5.679983377456665,1.0826128855042043,0.11003886300022714,0.6197493214773364,0.21553247623326297,1.1897915601730347,2.21250057220459,0.0,2.2759201526641846,41.22862133878401,3.589085578918457,65.01680215472528,4.330451488494873,78.4467523766737
1,-2.5796875953674316,3.4000396728515625,0.5296739312068472,0.04881855472922325,0.04881865158677101,0.04881874471902847,1.7295780181884766,2.609445095062256,3.4000396728515625,4.2723188400268555,5.169954299926758,1.9780313968658447,0.17362541481510177,82.63745851848982,1.0,1.0,0.0625,4.272318571805954,1.3311359713973279,2.4265135526657104,4.362582683563232,5.83281683921814,1.068079639939242,0.1645846986793913,0.6225889685329558,0.17362541481510177,0.9263443946838379,1.959206461906433,0.0625,2.5066428184509277,48.48481578427955,3.5921337604522705,69.48095770407797,4.2723188400268555,82.63745851848982
2,-3.0656490325927734,3.992952823638916,0.5185741701076149,0.04883253946900368,0.04883284494280815,0.04883308708667755,2.0829529762268066,3.121041774749756,3.992952823638916,3.8163537979125977,5.034482002258301,1.5318543910980225,0.24195700844680573,75.80429915531943,0.977022647857666,0.977022647857666,0.125,3.8163538724184036,1.1578000151022867,2.5876972675323486,3.9787899255752563,5.3223395347595215,0.954088471873547,0.1685690502054058,0.6502653006551796,0.24195700844680573,1.2181282043457031,1.8000470399856567,0.0,1.8839802742004395,37.42153161646717,3.0064706802368164,59.717577277825484,3.8163537979125977,75.80429915531943
3,-2.8494820594787598,3.677966833114624,0.5098038582330696,0.04884658008813858,0.048846904188394547,0.04884738102555275,1.9273122549057007,2.943166732788086,3.677966833114624,3.6409640312194824,5.080085754394531,1.4864888191223145,0.2832868956848092,71.67131043151907,1.0,1.0,0.0625,3.6409643664956093,1.0298832574714936,2.3935824632644653,3.5617780685424805,4.743839740753174,0.910241079840489,0.14294086328300182,0.6021319699868344,0.2832868956848092,1.4391212463378906,2.989337205886841,0.0,1.8096332550048828,35.62210054110717,2.875761032104492,56.60851353969396,3.6409640312194824,71.67131043151907
4,-2.455235481262207,3.336108684539795,0.6045238874809876,0.04886051267385483,0.048861075192689896,0.04886176437139511,1.516076683998108,2.5135207176208496,3.336108684539795,3.842970848083496,5.296091079711914,1.808150053024292,0.2743759897172051,72.56240102827948,0.9978573322296143,0.9978573322296143,0.125,3.8429708033800125,0.46711606723621774,3.2874823808670044,3.878604292869568,4.431537628173828,0.960742693996508,0.08291693715000292,0.5681882343876186,0.2743759897172051,1.453120231628418,2.6916985511779785,0.0,2.03389573097229,38.40371512422943,3.037165880203247,57.34731209283615,3.842970848083496,72.56240102827948
5,-3.2152469158172607,4.228558540344238,0.782597790661683,0.04887460172176361,0.048875365406274796,0.048876240849494934,2.0954678058624268,3.321714401245117,4.228558540344238,3.961601734161377,5.187877655029297,1.6171889305114746,0.23637333075484698,76.3626669245153,0.9714479446411133,0.9714479446411133,0.125,3.961601711809635,1.1735573361190232,2.531952142715454,4.354625940322876,5.339741945266724,0.9904004336676735,0.1814785277674673,0.6011862348046354,0.23637333075484698,1.2262758016586304,1.851414680480957,0.0,1.9940345287322998,38.436421622225765,3.02732253074646,58.353776477586656,3.961601734161377,76.3626669245153
