step,loss,train_unfolded_mean_wsr,grad_norm,eta_min,eta_mean,eta_max,train_layer_1_wsr,train_layer_2_wsr,train_layer_3_wsr,train_layer_4_wsr,train_layer_5_wsr,train_layer_6_wsr,eval_unfolded_mean_wsr,eval_wmmse_mean_wsr,eval_rzf_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference,eval_layer_1_wsr,eval_layer_1_relative_percent,eval_layer_2_wsr,eval_layer_2_relative_percent,eval_layer_3_wsr,eval_layer_3_relative_percent,eval_layer_4_wsr,eval_layer_4_relative_percent,eval_layer_5_wsr,eval_layer_5_relative_percent,eval_layer_6_wsr,eval_layer_6_relative_percent
0,-3.2345962524414062,2.8006277084350586,0.1676971435269195,0.6926473379135132,0.692897379398346,0.6936473250389099,1.746597170829773,5.986344337463379,2.865600347518921,2.6765241622924805,3.3318819999694824,2.8006277084350586,3.192246913909912,13.283760070800781,10.004154205322266,0.7596880027269662,24.031199727303378,1.0,1.0,0.1806640625,3.192246971124405,1.4737071822071064,1.790738582611084,2.8239911794662476,5.127652168273926,0.7980617425057657,0.19483186105489303,0.6466493542736346,0.7596880027269662,10.091512680053711,12.629057884216309,0.0,1.7899224758148193,13.474516750338429,5.501938343048096,41.418531452867654,2.7623023986816406,20.794582136073778,2.7400152683258057,20.626804863396107,3.216884136199951,24.21666846626528,3.192246913909912,24.031199727303378
100,-3.283550977706909,3.3550074100494385,0.15974801066701683,0.6422790288925171,0.6645195484161377,0.6963075399398804,1.7831742763519287,5.641321182250977,2.806285858154297,2.740579128265381,3.3749380111694336,3.3550074100494385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-3.2370920181274414,3.098684549331665,0.1589492698171175,0.5922540426254272,0.6404567360877991,0.7069903612136841,1.9469802379608154,5.153165340423584,2.9410924911499023,2.9248337745666504,3.3577961921691895,3.098684549331665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-3.4014339447021484,3.6014389991760254,0.11720961123720927,0.541508674621582,0.6138909459114075,0.7059963941574097,1.8123152256011963,5.773329734802246,2.8545498847961426,2.770158290863037,3.596811294555664,3.6014389991760254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-3.3637378215789795,3.5310590267181396,0.49478198259480466,0.4901989996433258,0.5907497406005859,0.7104082107543945,1.7769736051559448,5.808165073394775,2.692882537841797,3.0070393085479736,3.3663082122802734,3.5310590267181396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-3.3638319969177246,3.8206634521484375,0.22748640376114612,0.4406873881816864,0.5644379258155823,0.6988334059715271,1.8567320108413696,5.436880588531494,2.7241079807281494,3.0499417781829834,3.294665813446045,3.8206634521484375,3.7454686164855957,13.294410705566406,9.977703094482422,0.718267420840447,28.173257915955293,1.0,1.0,0.179931640625,3.745468626391812,1.9738231315964876,1.8473631143569946,3.055058002471924,6.803579330444336,0.9363671562016075,0.22164057960164696,0.6369434020108097,0.718267420840447,9.548942565917969,12.609310150146484,0.0,1.7955048084259033,13.505711897964161,5.616619110107422,42.247973486750546,2.850642681121826,21.442414742973558,3.1339879035949707,23.57372562803977,3.5969722270965576,27.056274300225247,3.7454686164855957,28.173257915955293
600,-3.421373128890991,3.759019374847412,0.6534388139621216,0.39312073588371277,0.5413700342178345,0.7006086111068726,1.7837629318237305,5.572419166564941,2.882110595703125,3.1907238960266113,3.3402023315429688,3.759019374847412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-3.53342604637146,3.922485828399658,0.7170071826053658,0.34752756357192993,0.5210554599761963,0.7102201581001282,1.8740448951721191,5.126976013183594,2.9707462787628174,3.4173543453216553,3.888948440551758,3.922485828399658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-3.6054201126098633,4.605677127838135,0.386894841032026,0.30703023076057434,0.5006406903266907,0.713412344455719,1.814266562461853,5.595888137817383,2.8368911743164062,3.269773244857788,3.5100250244140625,4.605677127838135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-3.5987796783447266,4.139612197875977,0.19442354077609134,0.2675946354866028,0.48367103934288025,0.7161993980407715,1.7752101421356201,5.579181671142578,2.8671865463256836,3.617091417312622,3.6143958568573,4.139612197875977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-3.701735496520996,4.080486297607422,4.157306049385447,0.23322898149490356,0.4685971736907959,0.7182399034500122,1.789214849472046,5.51890230178833,2.948094367980957,3.718764543533325,4.154951095581055,4.080486297607422,4.545843124389648,13.282090187072754,9.90285587310791,0.657746404341235,34.225359565876495,1.0,1.0,0.184326171875,4.545842878877011,2.4526007246049137,1.9281026124954224,3.792576551437378,8.103256225585938,1.1364607206172934,0.2378192895759098,0.6180758445814944,0.657746404341235,8.736247062683105,12.36532211303711,0.0,1.7954918146133423,13.518142019249845,5.723286151885986,43.0902521461296,2.861316442489624,21.5426668708702,3.8530120849609375,29.00907937450246,3.9485421180725098,29.728318829784506,4.545843124389648,34.225359565876495
1100,-3.9063587188720703,4.984184265136719,0.1920310158724246,0.20348861813545227,0.45596030354499817,0.7194203734397888,1.7236781120300293,5.838228225708008,2.8436689376831055,3.9720358848571777,4.076356887817383,4.984184265136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,-3.9438118934631348,5.026376247406006,0.47715197517748104,0.1766483038663864,0.4442089796066284,0.7226558923721313,1.835032343864441,5.765941619873047,2.9394664764404297,4.241787910461426,3.8542652130126953,5.026376247406006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,-3.90217924118042,5.012560844421387,0.21190276753081916,0.1518443375825882,0.43231722712516785,0.7266805171966553,1.7963597774505615,5.676401138305664,2.8740129470825195,4.349296569824219,3.7044429779052734,5.012560844421387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,-3.962916374206543,4.9237799644470215,0.4490763231139581,0.13081645965576172,0.42321333289146423,0.7352265119552612,1.8449372053146362,5.575170516967773,2.949763298034668,4.10834264755249,4.375503063201904,4.9237799644470215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,-4.0766730308532715,5.0785675048828125,0.8192622409635933,0.11366529762744904,0.4145447313785553,0.7374807000160217,1.7327299118041992,5.899749755859375,2.855999231338501,4.649811267852783,4.243178367614746,5.0785675048828125,5.276000499725342,13.295690536499023,9.947084426879883,0.6031796554498777,39.68203445501222,1.0,1.0,0.18701171875,5.276000254656537,2.7153609498809956,2.031621813774109,5.134101629257202,8.950339794158936,1.3190000629269987,0.2522003707894984,0.6027712737381196,0.6031796554498777,8.019689559936523,11.98004150390625,0.0,1.7968732118606567,13.514703933036962,5.732793807983398,43.117683825792014,2.877211332321167,21.640179759168678,4.511527061462402,33.932250822756906,4.16830587387085,31.350803949806988,5.276000499725342,39.68203445501222
1600,-4.0947699546813965,5.173819541931152,0.1728854496384241,0.09787081182003021,0.40926289558410645,0.7472119927406311,1.792060375213623,5.804383277893066,2.9105241298675537,4.608856201171875,4.278974533081055,5.173819541931152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,-4.198115348815918,5.76586389541626,0.30922723285283094,0.0848378837108612,0.4031316041946411,0.7578774690628052,1.7636322975158691,5.972818374633789,2.9262471199035645,4.856223106384277,3.9039065837860107,5.76586389541626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,-4.211257457733154,5.953027248382568,0.24875344992885845,0.07287824153900146,0.3971812427043915,0.7570045590400696,1.826372742652893,5.7973313331604,3.000690221786499,4.671924591064453,4.0181965827941895,5.953027248382568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,-4.179396629333496,5.485811233520508,0.5271838475560428,0.06242804974317551,0.39293381571769714,0.7639394402503967,1.8484138250350952,5.573199272155762,3.1113972663879395,4.540616989135742,4.516939163208008,5.485811233520508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,-4.300736427307129,6.303313255310059,0.402762001192666,0.052529580891132355,0.3880758285522461,0.7696303725242615,1.736645221710205,6.106433868408203,2.7315011024475098,5.584362506866455,3.342158317565918,6.303313255310059,5.767542839050293,13.256589889526367,9.948845863342285,0.5649301300625544,43.50698699374456,1.0,1.0,0.1787109375,5.76754264626652,2.7450357616634693,2.1314131021499634,6.147215843200684,9.233613967895508,1.4418856597749,0.26574417133964445,0.6026272978269747,0.5649301300625544,7.489047050476074,11.843509674072266,0.0,1.803644061088562,13.60564124046386,5.7289838790893555,43.21612063759816,2.881283760070801,21.734728041539675,5.105967044830322,38.51644417893921,4.115224838256836,31.04286149417771,5.767542839050293,43.50698699374456
2100,-4.242908477783203,6.055164337158203,0.622237968907846,0.04571153223514557,0.3845337927341461,0.7625097632408142,1.8399360179901123,5.579026699066162,2.92842960357666,4.986367225646973,4.0685272216796875,6.055164337158203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,-4.377435684204102,5.912460803985596,0.48159012541354695,0.04248806834220886,0.3809088170528412,0.7737546563148499,1.7196252346038818,6.083984375,2.846407413482666,5.418280601501465,4.2838544845581055,5.912460803985596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,-4.351102828979492,6.265842437744141,0.21161785607354333,0.040645256638526917,0.37796008586883545,0.7693244218826294,1.7540409564971924,5.854737281799316,2.8016581535339355,5.485190391540527,3.9451475143432617,6.265842437744141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,-4.3807053565979,6.529160022735596,0.1980990376895849,0.03812611475586891,0.37585580348968506,0.7686761021614075,1.761144995689392,5.830493927001953,2.924488067626953,5.466917991638184,3.7720277309417725,6.529160022735596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,-4.420685291290283,6.071390151977539,0.1831654056362338,0.036558277904987335,0.3740280568599701,0.7646898031234741,1.7772784233093262,6.007054805755615,2.843867778778076,5.715340614318848,4.109179496765137,6.071390151977539,6.0693511962890625,13.282618522644043,9.882262229919434,0.5430606407959313,45.69393592040687,1.0,1.0,0.17041015625,6.069351316080429,2.6636216835422686,2.2359119653701782,6.427991628646851,9.417962074279785,1.5173378278389382,0.28376567675723396,0.6070353406562162,0.5430606407959313,7.213586807250977,11.517728805541992,0.000244140625,1.811161994934082,13.635579399095409,5.764909267425537,43.40190345448521,2.9212000370025635,21.992651765331797,5.360088348388672,40.35415410937881,4.105877876281738,30.911659995972094,6.0693511962890625,45.69393592040687
2600,-4.272970676422119,5.8507981300354,0.4855379940089273,0.03475484251976013,0.37153157591819763,0.7637637853622437,1.910867691040039,5.289893627166748,3.050255298614502,5.132760047912598,4.4032487869262695,5.8507981300354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,-4.405405521392822,6.120946884155273,0.23076592698620849,0.032899972051382065,0.3691506087779999,0.7706911563873291,1.816453218460083,5.749632835388184,2.855140209197998,5.492321491241455,4.3979387283325195,6.120946884155273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2800,-4.4451117515563965,6.1600189208984375,0.46533790736776337,0.030660370364785194,0.3677038848400116,0.7753891944885254,1.7498149871826172,5.822620868682861,2.9130096435546875,6.0063652992248535,4.0188398361206055,6.1600189208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900,-4.416684150695801,6.364589691162109,0.23872648135780372,0.029116708785295486,0.36633729934692383,0.7719911336898804,1.853733777999878,5.701502799987793,2.730738878250122,5.895978927612305,3.9535603523254395,6.364589691162109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,-4.548357009887695,6.344448089599609,1.1425711346273875,0.026962803676724434,0.36470234394073486,0.769952654838562,1.8080540895462036,5.768682956695557,3.0686087608337402,6.0286407470703125,4.271707534790039,6.344448089599609,6.375575065612793,13.273894309997559,9.989019393920898,0.5196906863413194,48.03093136586806,1.0,1.0,0.1650390625,6.375574901205255,2.6140580813866503,2.4157636165618896,6.7276771068573,9.550084590911865,1.5938937257756023,0.28670243728104927,0.6081922937557199,0.5196906863413194,6.898435592651367,11.303932189941406,0.000244140625,1.813760757446289,13.66411932389887,5.730499267578125,43.171198547679104,2.919734001159668,21.99606184117798,5.608096122741699,42.24906415382428,4.180386543273926,31.493293871756727,6.375575065612793,48.03093136586806
3100,-4.446286678314209,6.588839530944824,0.8984127870560905,0.02540525048971176,0.36319780349731445,0.7700984477996826,1.829326868057251,5.555432319641113,2.707113265991211,5.881904602050781,4.1151018142700195,6.588839530944824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,-4.57368278503418,7.136516571044922,0.2260221499632876,0.024138163775205612,0.36270642280578613,0.7884343266487122,1.7743537425994873,5.830005645751953,2.858366012573242,6.009904861450195,3.8329508304595947,7.136516571044922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3300,-4.557104110717773,6.63676118850708,1.0462020305178479,0.022882508113980293,0.3603490889072418,0.7773052453994751,1.8402330875396729,5.945805549621582,2.817995548248291,5.961186408996582,4.140644073486328,6.63676118850708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3400,-4.573105812072754,6.791012763977051,0.6628054220711048,0.021461347118020058,0.35866525769233704,0.7814093828201294,1.806665062904358,5.963873386383057,2.9635865688323975,5.563225746154785,4.350268840789795,6.791012763977051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,-4.55441427230835,6.510394096374512,0.22677666308949984,0.020175471901893616,0.35728153586387634,0.7817418575286865,1.7596721649169922,6.064168930053711,2.921412944793701,5.727982997894287,4.342851638793945,6.510394096374512,6.732114791870117,13.271257400512695,9.976213455200195,0.4927296948057053,50.72703051942947,1.0,1.0,0.16943359375,6.732115072576562,2.5903536197486807,2.567677140235901,7.018807411193848,9.880521297454834,1.683028768673143,0.3165100844910532,0.6217226714768607,0.4927296948057053,6.539536476135254,11.127490997314453,0.00048828125,1.7965139150619507,13.536877937372745,5.812678813934326,43.79900591566984,2.906379461288452,21.899804770391786,5.823341369628906,43.879349136909504,4.196173667907715,31.618508640677923,6.732114791870117,50.72703051942947
3600,-4.586091995239258,6.9486165046691895,1.904203410667087,0.019025593996047974,0.3553554117679596,0.780386745929718,1.756205677986145,5.9253339767456055,2.9409008026123047,5.897985458374023,4.047508239746094,6.9486165046691895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3700,-4.573622226715088,6.764930725097656,0.509864855933557,0.017866555601358414,0.3544865548610687,0.7864369750022888,1.8380498886108398,5.771380424499512,3.0692555904388428,5.9263916015625,4.071723461151123,6.764930725097656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3800,-4.6685333251953125,6.949687957763672,0.8138007975250259,0.01671604812145233,0.3525889813899994,0.785664439201355,1.881406307220459,5.675741195678711,3.155561923980713,5.728874206542969,4.619926929473877,6.949687957763672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3900,-4.607541084289551,6.914379119873047,0.524118976222694,0.01544396486133337,0.35136377811431885,0.7794681787490845,1.7867827415466309,5.805721282958984,2.840981960296631,5.80513858795166,4.492242813110352,6.914379119873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,-4.702174186706543,7.302250862121582,0.7179975717631005,0.014336136169731617,0.3500421941280365,0.7824593782424927,1.8019542694091797,5.749445915222168,2.969041109085083,6.100411415100098,4.289937973022461,7.302250862121582,7.319683074951172,13.265205383300781,9.985735893249512,0.4482043162207101,55.17956837792899,0.9996306896209717,0.9996306896209717,0.1650390625,7.319682669622125,2.5781329027097617,3.135860562324524,7.545490741729736,10.46239185333252,1.829920667141443,0.328530526930532,0.6254721370296791,0.4482043162207101,5.946137428283691,10.443628311157227,0.00048828125,1.7944691181182861,13.527639160244712,5.825908660888672,43.918721893463896,2.944431781768799,22.196654304919143,5.965874671936035,44.973858297334154,4.359668254852295,32.86544104579464,7.319683074951172,55.17956837792899
4100,-4.675586223602295,6.966823101043701,0.4417364860026263,0.013529472053050995,0.348503977060318,0.7654584050178528,1.8561625480651855,5.789928436279297,3.0303330421447754,5.686395168304443,4.723873138427734,6.966823101043701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4200,-4.842737674713135,7.68629789352417,0.4152278156785195,0.012668555602431297,0.34890785813331604,0.7662113904953003,1.7783172130584717,5.983765125274658,3.080448627471924,5.913230895996094,4.6143646240234375,7.68629789352417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,-4.740608215332031,7.495461940765381,0.38515704234198417,0.011918097734451294,0.3479483127593994,0.7666216492652893,1.8485469818115234,5.853726387023926,2.8683671951293945,5.988637924194336,4.388907432556152,7.495461940765381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400,-4.860221862792969,7.7691240310668945,0.35713035910740887,0.011404534801840782,0.34892237186431885,0.7670065760612488,1.7206342220306396,6.226322174072266,2.951554298400879,6.068081855773926,4.425614833831787,7.7691240310668945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
