step,loss,train_unfolded_mean_wsr,grad_norm,eta_min,eta_mean,eta_max,train_layer_1_wsr,train_layer_2_wsr,train_layer_3_wsr,train_layer_4_wsr,train_layer_5_wsr,train_layer_6_wsr,eval_unfolded_mean_wsr,eval_wmmse_mean_wsr,eval_rzf_mean_wsr,eval_gap_to_wmmse,eval_relative_wsr_percent,eval_mean_power,eval_power_utilization,eval_power_violation_ratio,eval_mean_wsr,eval_std_wsr,eval_p10_wsr,eval_p50_wsr,eval_p90_wsr,eval_mean_user_rate,eval_mean_min_user_rate,eval_mean_jain_fairness,eval_gap_to_reference,eval_mean_abs_wsr_gap,eval_p90_abs_wsr_gap,eval_win_rate_vs_reference,eval_layer_1_wsr,eval_layer_1_relative_percent,eval_layer_2_wsr,eval_layer_2_relative_percent,eval_layer_3_wsr,eval_layer_3_relative_percent,eval_layer_4_wsr,eval_layer_4_relative_percent,eval_layer_5_wsr,eval_layer_5_relative_percent,eval_layer_6_wsr,eval_layer_6_relative_percent
0,-2.8522326946258545,3.409684658050537,0.08531919668799012,0.6926473379135132,0.6928555965423584,0.6936473250389099,1.362466812133789,3.7568471431732178,2.4362473487854004,3.338376760482788,2.8097729682922363,3.409684658050537,3.328352689743042,5.510512351989746,4.152353286743164,0.39599941400344846,60.400058599655154,1.0,1.0,0.17041015625,3.3283526367886225,0.9047954115714723,2.101777672767639,3.3375043869018555,4.48062539100647,0.8320881596658738,0.21320638536673098,0.6868830298391784,0.39599941400344846,2.182159423828125,3.7432546615600586,0.0,1.406491994857788,25.523797153815096,3.597294807434082,65.2805869518678,2.5251946449279785,45.825042820495206,3.2916135787963867,59.73334907066935,2.8409295082092285,51.55472534570076,3.328352689743042,60.400058599655154
100,-2.8342015743255615,3.2532811164855957,0.129281228320217,0.6431886553764343,0.6606003046035767,0.693753182888031,1.4689693450927734,3.557799816131592,2.6377439498901367,3.2646350860595703,2.8227806091308594,3.2532811164855957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,-2.908872127532959,3.408998966217041,0.1337449982746249,0.5951923131942749,0.6301314830780029,0.686161458492279,1.5593061447143555,3.4917197227478027,2.7151145935058594,3.358366012573242,2.919726848602295,3.408998966217041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,-2.917989730834961,3.5659492015838623,0.10917151630375989,0.5490255951881409,0.6018281579017639,0.6887200474739075,1.4431445598602295,3.6184425354003906,2.5990943908691406,3.395350694656372,2.8859567642211914,3.5659492015838623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,-2.9741759300231934,3.7219066619873047,0.15026114822839884,0.5028555393218994,0.5730409026145935,0.6913735270500183,1.4185094833374023,3.768400192260742,2.474827766418457,3.6046836376190186,2.856726884841919,3.7219066619873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,-3.0012471675872803,3.7130138874053955,0.11043140594904934,0.45782899856567383,0.5444966554641724,0.6844324469566345,1.4609612226486206,3.662931442260742,2.662952423095703,3.5845117568969727,2.9231112003326416,3.7130138874053955,3.6903042793273926,5.523764610290527,4.161747455596924,0.33192224149948024,66.80777585005198,1.0,1.0,0.195556640625,3.690304106930853,0.9412972655339882,2.3722071647644043,3.703389525413513,4.871755123138428,0.9225760268400841,0.2026297459353148,0.6643381125456355,0.33192224149948024,1.833486795425415,3.382366895675659,0.000244140625,1.4148204326629639,25.613336781716157,3.7015035152435303,67.01052228669907,2.556105852127075,46.27470633642071,3.639268398284912,65.883842904984,2.9893240928649902,54.11751411883143,3.6903042793273926,66.80777585005198
600,-3.0663681030273438,3.8333911895751953,0.11705127586745274,0.41350632905960083,0.5182050466537476,0.6803802251815796,1.424802303314209,3.7619876861572266,2.6009812355041504,3.7491612434387207,3.0278844833374023,3.8333911895751953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,-3.043170928955078,3.7626495361328125,0.248533597390433,0.37261512875556946,0.4920138418674469,0.6749184727668762,1.4696581363677979,3.4378252029418945,2.8707571029663086,3.536262273788452,3.1818723678588867,3.7626495361328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,-3.101682662963867,3.8754968643188477,0.14100518095486153,0.33375096321105957,0.46753355860710144,0.6731520295143127,1.4678937196731567,3.7090768814086914,2.6910033226013184,3.6234052181243896,3.2432212829589844,3.8754968643188477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,-3.160374402999878,3.983652114868164,0.21436708631728255,0.2972986698150635,0.44295379519462585,0.6628859043121338,1.3616456985473633,3.812838077545166,2.6774306297302246,3.879291534423828,3.2473866939544678,3.983652114868164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,-3.2261931896209717,3.9843251705169678,0.14838339421840077,0.26453346014022827,0.4190787374973297,0.649747371673584,1.4717936515808105,3.7221813201904297,2.877725601196289,3.929553985595703,3.37157940864563,3.9843251705169678,4.026881217956543,5.519546031951904,4.142045974731445,0.2704325329211002,72.95674670788998,1.0,1.0,0.182861328125,4.026881299389061,0.9165692846956235,2.8267871141433716,4.038942098617554,5.198363780975342,1.0067203251475327,0.18807719478102072,0.6498258295214567,0.2704325329211002,1.4926879405975342,2.930978536605835,0.000244140625,1.4260934591293335,25.837151296028182,3.7645721435546875,68.2043798849052,2.7996137142181396,50.721811141922814,3.9203286170959473,71.02628720553639,3.372356414794922,61.09843808300189,4.026881217956543,72.95674670788998
1100,-3.3303706645965576,4.222399711608887,0.15665624973442463,0.2355068176984787,0.3974447250366211,0.6423484683036804,1.3463084697723389,3.956226348876953,2.839620590209961,4.156961441040039,3.460706949234009,4.222399711608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,-3.336984395980835,4.257341384887695,0.21351758697088502,0.20868441462516785,0.37607625126838684,0.6313295960426331,1.4608449935913086,3.9076366424560547,2.7726082801818848,4.100204944610596,3.5232694149017334,4.257341384887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,-3.3800268173217773,4.111179351806641,0.21557739879565743,0.17996659874916077,0.3561638295650482,0.6180954575538635,1.4182934761047363,3.778677463531494,3.076448440551758,4.068664073944092,3.826899290084839,4.111179351806641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,-3.4309096336364746,4.2280378341674805,0.16995434067236903,0.1541491448879242,0.33704665303230286,0.6096807718276978,1.4578227996826172,3.6546592712402344,3.198932647705078,4.00362491607666,4.042379379272461,4.2280378341674805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,-3.520540237426758,4.544126510620117,0.20776321464873768,0.13215751945972443,0.3182169497013092,0.6019464731216431,1.368483066558838,3.814474582672119,3.0456061363220215,4.282571792602539,4.0679802894592285,4.544126510620117,4.461009502410889,5.5064544677734375,4.1464385986328125,0.1898580967991332,81.01419032008668,1.0,1.0,0.181396484375,4.461009698658017,0.8342446283700115,3.4296103715896606,4.470096111297607,5.4870288372039795,1.1152524247080278,0.1615334218181054,0.6451074097655769,0.1898580967991332,1.045685052871704,2.174295663833618,0.00146484375,1.4405922889709473,26.161885064191914,3.7886085510253906,68.80304873486648,3.221637010574341,58.50655861097179,4.138134002685547,75.1506078349327,4.116466999053955,74.75712408312111,4.461009502410889,81.01419032008668
